Numb;Type;Lat;Long;Title;Subtitle;Address;ZIP;City;Country;Info;Itinerary;SourceName;Source;Image;Artist;SongTitle;Lyrics;MediaType;MediaURI;ID;
49;V;51,488889;-0.197778;Earls Court Exhibition Centre;Pink Floyd famous venue of their 1994 tour;Warwick Rd;SW5 9TA;London;United Kingdom;Earls Court Exhibition Centre was an internationally renowned exhibition, conference and events venue in London that originally opened in 1887. In 2013 plans to demolish Earl's Court were approved in order to make way for a new residential and retail estate on the site, which is expected to be completed in 2033. Demolition work began on the site in December 2014. Earls Court was one of the most popular arenas to play in the UK, with a capacity of around 19,000 including standing room, meaning it was often chosen over other venues by bands with a large fan base. The Division Bell Tour, the final Pink Floyd tour and the highest-grossing tour in rock music history to that date, came to London in october 1994. Here the band broke the record of 14 night run at London’s Earls Court, from 12 to 29 october. These shows are documented by the Pulse album, video and DVD. The final concert of the tour on 29 October 1994 turned out to be the final full-length Pink Floyd performance, and the last time Pink Floyd played live before their one-off 18-minute reunion with Roger Waters at Live 8 on 2 July 2005.;-;-;-;no;Pink Floyd;The Division Bell;   ;-;-;017g120817;
50;P;51,501229;-0.21181;Freddie Mercury's home;100 Holland Road;100 Holland Road;W14 8BD;London;United Kingdom;Freddie once lived here with Mary Austin in the early seventies. He wrote the Bohemian Rhapsody whilst living here.  Also, the band's first proper photo session was done by Doug Puddifoot here - and many of those photos were used on the back of the bands first album.;-;-;https://www.azlyrics.com/lyrics/queen/bohemianrhapsody.html;no;Queen, Freddie Mercury;    ;    ;-;-;019g120817;
51;V;51,490841;-0.224503;Hammersmith Apollo;celeber music venue;45 Queen Caroline St;W6 9QH;London;United Kingdom;Used to be called Hammersmith Odeon, then Hammersmith Apollo, Labbats Apollo, London Apollo, now it's Carling Apollo. It's a very famous London live venue. Queen have played several gigs here, included the now celebrated Christmas concerts in 1975 and 1979. They had first appeared supporting Mott The Hoople. Also, The Beatles played 38 shows here over 21 nights! And many many more...;-;-;https://www.eventimapollo.com/#kWKCds9lVdEubC5Y.97;no;V.A., Queen, Beatles;   ;   ;-;-;021g120817;
52;R;51,475206;-0.240612;Olympic Studios;Eminent recording studio;117-123 Church Rd;SW13 9HL;London;United Kingdom;"Along with Abbey Road, this is among the most famous music studios of all time! The Rolling Stones were among the first clients of the new Olympic Studios in Barnes, consecutively recording six of their albums there between 1966 and 1972. The décor and furnishing of the new Studio Two was designed by Mick Jagger. Tons of famous recordings were made here, included Queen’s A Night at The Opera and The Miracle. Brian May, Roger Taylor and Paul Rodgers recorded together for the very first time (Rock Aid Armenia). The Beatles worked at the studio to record the original tracks of ""All You Need Is Love"". The Jimi Hendrix Experience worked on all three of their studio albums- Are You Experienced (recorded between October 1966 and April 1967), Axis: Bold as Love (between May and October 1967) and Electric Ladyland (December 1967 to August 1968) at the Barnes-based studio.Senior engineer at Olympic, Eddie Kramer worked closely with Jimi Hendrix and had some fond memories, describing the guitarist as a surprisingly, “very, very shy guy…. Jimi was so focused. He had the most unbelievable amount of concentration on one idea.” The Who recorded their albums Who's Next and Who Are You. It was used heavily by Led Zeppelin, who recorded tracks there for all of their studio albums up to and including Physical Graffiti in 1975. Check out the 65 seater basement auditorium here – It is said John Lennon used to park his car here! The bar is decorated with photographs of some of the musicians that worked here, including a painting by Ronnie Wood. ";-;-;https://en.wikipedia.org/wiki/Olympic_Studios;no;V.A., Queen, Rolling Stones;   ;   ;-;-;022g120817;
53;M;51,533097;-0.137242;AmyStreetArt by Mr Cenz;Amy Winehouse-inspired work;76 Lidlington Pl;NW1;London;United Kingdom;"There's a beautiful purple and blue portrait of Amy at Lidlington Place, designed by London-based graffiti artist Mr Cenz. The graffiti artist from London started his street art career back in the 80s and his futuristic portraits have been described as ""surrealist graffiti art for the soul"".";6;-;https://goo.gl/ewx9k7;no;Amy Winehouse;;;-;-;001g210817;
54;M;51,535494;-0.140371;AmyStreetArt by Captain Kris & Amara Por Dios;Amy Winehouse-inspired work;1-13 Miller St;NW1 7DN;London;United Kingdom;"This graffiti shows part of the song text from Valerie by The Zutons, ""why don’t you come on over Valerie?"". English musicians Mark Ronson and Amy Winehouse in fact covered the song for Ronson's second studio album Version (2007) and it was more successful than the original. It’s a collaboration of Captain Kris and Amara Por Dios. The artists reported that some people were so inspired by it that they started singing the song on the street. What a wonderful experience!";6;-;http://jewishmuseum.org.uk/Amy-Street-Art;no;Amy Winehouse, Mark Ronson;Valerie;;-;-;002g210817;
55;M;51,535892;-0.139921;AmyStreetArt by Philth (The Wheelbarrow);Amy Winehouse-inspired work;55 Camden High St;NW1 7JH;London;United Kingdom;"Behind ""Be at One"" bar in Miller Street you can admire will the black and grey portrait of Amy by graphic designer Philth. Gorgeous.";6;-;http://jewishmuseum.org.uk/Amy-Street-Art;no;Amy Winehouse;;;-;-;003g210817;
56;M;51,537332;-0.139492;AmyStreetArt by Bambi;Amy Winehouse-inspired work;92 Bayham St;NW1;London;United Kingdom;In Bayham Street there's a seated Amy in a red dress is located close to a man very similar to Dave Gahan of Depeche Mode. It was made by Bambi, a mystery female street artist.;6;-;http://jewishmuseum.org.uk/Amy-Street-Art;no;Amy Winehouse;;;-;-;004g210817;
57;M;51,540406;-0.143205;AmyStreetArt by Captain Kris & Amara Por Dios #2;Amy Winehouse-inspired work;5 Stucley Pl;NW1;London;United Kingdom;Here's the second collaboration between Captain Kris and Amara Por Dios at Stucley Place. The over-sized pair of eyes in a face with colourful words and a big beehive look best from a little distance.;6;-;http://jewishmuseum.org.uk/Amy-Street-Art;no;Amy Winehouse;;;-;-;005g210817;
58;M;51,534939;-0.138524;AmyStreetArt by Pegasus;Amy Winehouse-inspired work;6 Camden High St;NW1 0JH;London;United Kingdom;"In the entrance of Camden Market, Chicago-born artist Pegasus has used a portrait of Amy Winehouse in five different colourings and added the words ""We only said goodbye with words"".";6;-;http://jewishmuseum.org.uk/Amy-Street-Art;no;Amy Winehouse;;;-;-;006g210817;
59;M;51,537893;-0.144574;AmyStreetArt by Pegasus (The Earl of Camden);Amy Winehouse-inspired work;55 Parkway;NW1 7PN;London;United Kingdom;"Passed the pub ""The Earl of Camden"", on its wall you cand admire a piece by Chicago-born artist Pegasus dedicated to Amy Winehouse.";6;-;http://jewishmuseum.org.uk/Amy-Street-Art;no;Amy Winehouse;;;-;-;007g210817;
60;W;51,520072;-0.145336;33 Portland Place;"Amy Winehouse video: ""Rehab""";33 Portland Place;W1B 1QE;London;United Kingdom;"This £30m house, situated just off Oxford Street, has been the venue for parties attended by such as luminaries as Kate Moss, Ronnie Wood, Mick Jagger, Paris Hilton, Hugh Grant, Heidi Klum, Vivienne Westwood and Keira Knightley. Over the past two years, these celebrities have all been photographed here with the owner, Edward Davenport (known as ""Fast Eddie"" because of his wheeler-dealer reputation). Amy Winehouse's 2006 video for single ""Rehab"" was filmed in the building's billiard room.";-;-;https://www.youtube.com/watch?v=KUmZp8pR1uc;no;Amy Winehouse;Rehab;;-;-;017g210817;
61;M;51,5424;-0.1478;Amy Winehouse Statue;Life-sized tribute to Amy Winehouse;407 Chalk Farm Rd;NW1 8AH;London;United Kingdom;"A statue of Amy Winehouse was placed in 2014 in the heart of the Stables Market as a memorial to the British singer sadly died of alcohol poisoning aged 27. Her father Mitch Winehouse, who had approved the sculptor Scott Eaton, said that ""Amy was in love with Camden and it is the place her fans from all over the world associate her with."" Mitch Winehouse also said that the sight of the statue was ""incredibly emotional"" and that it was ""like stopping her in a beautiful moment in time ... We really hope Amy's fans love the statue."" ""The pose had to capture Amy’s attitude and strength, but also give subtle hints of insecurity,"" Eaton said of the design.";6;-;http://www.independent.co.uk/news/people/amy-winehouse-statue-unveiled-in-camden-9732038.html;no;Amy Winehouse;;;-;-;011g210817;
62;M;51,536944;-0.144444;Jewish Museum London;Raymond Burton House;129-131 Albert St,;NW1 7NB;London;United Kingdom;The Jewish Museum London is a museum of British Jewish history situated in the London Borough of Camden. Here you can get an insight into the private life of the London singer-songwriter with the acclaimed exhibition Amy Winehouse: A Family Portrait. As well as Amy's personal items, find a specially comissioned installation by close family friend, street artist Pegasus.;6;-;http://www.independent.co.uk/news/people/amy-winehouse-statue-unveiled-in-camden-9732038.html;no;Amy Winehouse;;;-;-;012g210817;
63;V;51,537222;-0.145556;The Dublin Castle;Legendary public house;94 Parkway;NW1 7AN;London;United Kingdom;The Dublin Castle is an intimate pub and live music venue in Camden Town, London. It was an important venue in the early stages of several bands' careers, especially for Britpop acts in the 1990s, as it was often the first major London gig for bands that later found commercial success, including Blur. Amy Winehouse was a regular visitor to the pub. She performed regularly here and occasionally helped to serve drinks to customers. The ipub became quickly a favourite for Winehouse. Often swapping the stage for the bar, she could regularly be found pulling pints and chatting with regulars.;6;-;-;no;Amy Winehouse, Blur;;;-;-;013g210817;
64;M;51,545266;-0,130666;Amy Winehouse Tree;Amy Winehouse Memorial Tree;29 Camden Square;NW1 9XA;London;United Kingdom;Amy Winehouse lived just two streets over at number 30 Camden Square. The Tree across from her home continues to be a pilgrimage destination for music fans.;-;-;-;no;Amy Winehouse;;;-;-;014g210817;
65;V;51,525533;-0.206308;Cobden Club;Jazz club (now closed);170 Kensal Rd;W10 5BN;London;United Kingdom;Named after but unaffiliated with a political gentlemen's club that existed from 1886 to the 1970s, the Cobden Club was a bar/restaurant that opened its doors in 1996 and closed in the 2010s. Amy Winehouse had a regular weekly gig at the club singing jazz standards in the early 2000s.;-;-;-;no;Amy Winehouse;;;-;-;016g210817;
66;V;51,5143;-0,053;George Tavern;Grade II listed public house;373 Commercial Rd;E1 0LA,;London;United Kingdom;The George Tavern is a Grade II listed public house and music venue located on Commercial Road, London. Reopened in 2002, it has played host to a number of musical acts, including The Magic Numbers, Kodaline, John Cooper Clarke, Nick Cave, Anna Calvi and Sir Roger Penrose. It continues to host live music on most nights of the week. Winehouse joined a campaign to stop a block of flats being built beside the George Tavern.;-;-;-;no;Amy Winehouse, The Magic Numbers, Kodaline, John Cooper Clarke, Nick Cave, Anna Calvi, Sir Roger Penrose;;;-;-;018g210817;
67;W;51,5649;-0.0781;Abney Park Cemetery Trust;"Amy Winehouse music video: ""Back to Black""";215 Stoke Newington High St;N16 0LH;London;United Kingdom;Known as one of London’s ‘Magnificent Seven’ garden cemeteries, Abney Park was the setting for the graveyard scenes in Amy Winehouse’s 'Back to Black' music video.;-;-;-;no;Amy Winehouse;Back To Black;;-;-;019g210817;
68;R;51,49322;-0.24951;Metropolis Studios;The Power House;70 Chiswick High Rd;W4 1SY;London;United Kingdom;"Metropolis Studios was the first division to be established of Metropolis Group, which facilities have been used by a wide range of artists. Amy Winehouse recorded here part of second and final album ""Back To Black"" with producer Mark Ronson.";-;-;-;no;Amy Winehouse;;;-;-;020g210817;
69;V;51,512965;-0.139533;Ain't Nothin But...The Blues Bar;Blues club;20 Kingly St;W1B 5PZ;London;United Kingdom;This intimate and authentic little place is no longer a well kept secret with eager Blues fans queuing out the door most nights. High profile singers have included the late, great Amy Winehouse. Amy here made an impromptu performance, during Saturday Open Mic, and played the last set with guitarists Vlad Soriano and Owen Houlston.;-;-;-;no;Amy Winehouse;;;-;-;022g210817;
70;P;51,518668;-0.147534;Amy Winehouse Foundation;Registered charity;5 Harley Place;W1G 8QD;London;United Kingdom;The Amy Winehouse Foundation is a registered charity in England and Wales, set up in memory of English singer-songwriter Amy Winehouse. After Amy's untimely death, the foundation was set up by Winehouse's family and launched on 14 September 2011 (which would have been Winehouse's 28th birthday). Its aim is to help young people and it works with other charitable organisations to provide frontline support.;-;-;-;no;Amy Winehouse;;;-;-;025g210817;
71;M;51,522778;-0.155278;Madame Tussauds;Wax museum;Marylebone Rd;NW1 5LR;London;United Kingdom;A wax sculpture of Amy Winehouse went on display at the London Madame Tussauds on 23 July 2008, placed in the Music Zone of the venue. The singer did not attend the unveiling, although her parents did.;-;-;-;no;Amy Winehouse;;;-;-;026g210817;
72;P;51,65324;-0.19998;Susi Earnshaw Theatre School;Private School;68 High Street;EN5 5SJ;London;United Kingdom;"In 1992, her grandmother Cynthia suggested that Amy attend this school, where she went on Saturdays to further her vocal education. She attended for four years and founded a short-lived rap group called Sweet 'n' Sour, with Juliette Ashby, her childhood friend. Amy was allegedly expelled at 14 for ""not applying herself"" and also for piercing her nose.";-;-;-;no;Amy Winehouse;;;-;-;029g210817;
73;W;51,510393;-0.138884;National Youth Jazz Orchestra (NYJO);British jazz orchestra;5 Vigo St;W1S 3HB;London;United Kingdom;The National Youth Jazz Orchestra is a famous British jazz orchestra based in Westminster. In 2000, aged sixteen, Amy became the featured female vocalist, under the tutelage of vocal coach Annabel Williams. Founder Bill Ashton was suitably impressed: “I can honestly say, she had the best jazz voice of any young singer I had ever heard”. NYJO's members have included many of the major names in British jazz over the last three decades, including Julian Argüelles, Guy Barker, Chris Biscoe, Richard James Burgess, Paul Edmonds, Teresa Gallagher, Steve Hill, Nigel Hitchcock, Carol Kenyon, Dave O'Higgins, Simon Phillips, Gerard Presencer, Brian Priestley, Frank Ricotti, Jamie Talbot, Dave Watts, Tom Cawley, Gareth Lockrane, Chris White and Neil Yates.;-;-;-;no;Amy Winehouse;;;-;-;030g210817;
74;P;51,667;-0.103;Chase Farm Hospitals;Amy Winehouse birthplace;127 The Ridgeway;EN2 8JL;London;United Kingdom;"Amy Winehouse was born in Chase Farm Hospital, in north London, to Jewish parents. Her father, Mitchell ""Mitch"" Winehouse, was a window panel installer and then a taxi driver  and her mother, Janis Winehouse (née Seaton), was a pharmacist. Winehouse's ancestors were Russian and Polish Jewish immigrants to London.";-;-;-;no;Amy Winehouse;;;-;-;028g210817;028g210817
75;P;51,541979;-0.145279;The Hawley Arms;Pub Boozer Tavern Inn;2 Castlehaven Rd;NW1 8QU;London;United Kingdom;Home to what was supposedly Amy Winehouse’s favourite drink, 'Rickstasy', (three parts vodka, one part banana liqueur, one part Southern Comfort, and one part Baileys), this local pub went up in flames during the infamous Camden Market blaze of 2008. Thanks to the fundraising efforts of its regulars, The Hawley Arms is back and open for business, hosting secret gigs and some great memorabilia.;6;-;-;no;Amy Winehouse;;;-;-;008g210817;
76;V;51,5432;-0.1519;Roundhouse;Amazing music venue;100 Chalk Farm Rd;NW1 8EH;London;United Kingdom;"Amy Winehouse played here her last ever UK gig on 20 July 2011 that, when she made a surprise appearance on stage to support her goddaughter, Dionne Bromfield, who was singing ""Mama Said"" with The Wanted";-;-;-;no;Amy Winehouse;;;-;-;010g210817;
77;V;51,577316;-0.369448;The Rayners Hotel;Grade II listed public house (now closed);23 Village Way East, Rayners Lane;HA2 7LX.;London;United Kingdom;The Rayners Hotel was a pub designed by the architects Eedle and Meyers. Amy Winehouse’s debut performance with National Youth Jazz Orchestra took place here, in 16th July 2000, at a Sunday lunchtime session. It happened that the first singer dropped out at the last minute. Founder Bill Ashton called Amy the very same morning and asked if she would step in. The girl didn't know the repertoire but learnt four songs just on the tube ride to the gig and sang them perfectly without a lead sheet or set of words.;-;-;-;no;National Youth Jazz Orchestra, Amy Winehouse;;;-;-;001g041017;
78;M;51,545159;-0.13068;30 Camden Square;Home and deathplace of iconic singer Amy Winehouse;30 Camden Square;NW1 9XA;London;United Kingdom;"Amy lived here 4 months in her 3 bedroom-apartment before dying on 23rd July 2011. She has been found with no pulse at her house by her bodyguard. At 3:54 p.m. BST on 23 July 2011, two ambulances were called to Winehouse's home in Camden. Winehouse was pronounced dead at the scene. Shortly afterwards, the Metropolitan Police confirmed that she had died. A coroner's inquest reached a verdict of misadventure. The report released on 26 October 2011 explained that Winehouse's blood alcohol content was at the time of her death more than five times the legal drink-drive limit. Always according to the coroner, ""The unintended consequences of such potentially fatal levels was her sudden death."" After her decease, the singer broke her second Guinness World Record: for the most songs by a woman to simultaneously appear on the UK singles chart, with eight. This is the last known address for Amy, please visit it, and be respectful of the tributes and flowers.";6;-;-;no;Amy Winehouse;;;-;-;002g041017;002g041017
79;W;51,523811;-0.066951;"Amy Winehouse video: ""Fuck Me Pumps""";Music video location;110-112 Cheshire St;E2 6EJ;London;United Kingdom;"The music video shows Amy walking in Cheshire street wearing ""fuck-me pumps"" (slang expression for high-heeled sexy women shoes). Her father, Mitch Winehouse, makes a cameo in the video.";-;-;-;no;Amy Winehouse;Fuck Me Pumps;;-;-;003g041017;
80;P;51,538449;-0.154993;Primrose Hill;Regent's Park;Primrose Hill;NW1 7SU;London;United Kingdom;At the top of Camden's Primrose Hill, the whole London lies below you. Amy spent a happy summer lingering in this park with Blake Fielder-Civil, her on-off love.;6;-;-;no;Amy Winehouse;;;-;-;027g210817;
